자치구,대여소명,기준년월,대여건수,반납건수
강동구,1038. 강일 다솜 어린이 공원,202207, 350 , 417 
강동구,1039. 고덕초등학교,202207, 269 , 276 
강동구,1041. 묘곡초등학교,202207, 739 , 735 
강동구,1042. 강일리버파크 2~5단지,202207, 813 , 916 
강동구,1044. 굽은다리역,202207," 5,408 "," 5,503 "
강동구,1047. 강동 한신휴플러스,202207," 2,626 "," 2,764 "
강동구,1048. 둔촌어린이공원,202207," 2,959 "," 3,054 "
강동구,1049. 강일리버파크 10단지,202207, 917 ," 1,002 "
강동구,1050.  둔촌역 3번 출입구,202207," 5,267 "," 5,294 "
강동구,"1051. 강일중,선사고 버스정류장(신암중학교 방면)",202207," 1,731 "," 1,752 "
강동구,1052. 리싸이클시티,202207, 120 , 110 
강동구,1053. 동명근린공원 진입로 (아리수로),202207, 520 , 483 
강동구,1054. 말우물 어린이 공원,202207, 374 , 440 
강동구,1056. 강일리버파크 7~11단지,202207, 660 , 737 
강동구,1057. 능골근린공원,202207, 902 , 921 
강동구,1058. 고덕숲 아이파크 1,202207, 369 , 370 
강동구,1059. 래미안 강동팰리스(102동),202207," 1,406 "," 1,376 "
강동구,1060. 천일초교 사거리,202207," 1,215 "," 1,206 "
강동구,1061. 천호초교 입구 사거리(일주빌딩),202207," 1,842 "," 1,847 "
강동구,1062. 고덕숲 아이파크 2,202207, 237 , 241 
강동구,1063.강동롯데캐슬퍼스트 아파트(관리동),202207, 737 , 735 
강동구,1064.중앙보훈병원역 1번출구,202207, 575 , 313 
강동구,1065.보훈병원 후문옆(더 원커피),202207, 408 , 411 
강동구,1066.생태공원앞 교차로(조명탑),202207, 183 , 180 
강동구,1067.한영중고앞사거리,202207, 543 , 517 
강동구,1068.명일파출소,202207, 986 , 798 
강동구,1069.강동경희대학교병원 입구,202207, 519 , 476 
강동구,1070.(시립)고덕평생학습관,202207, 900 , 896 
강동구,1071.명일근린공원공동체텃밭,202207, 251 , 249 
강동구,1072.고덕역 5번출구,202207," 1,666 "," 1,648 "
강동구,1073. SSTS 몰 앞,202207," 1,093 "," 1,123 "
강동구,1074.대명초교입구 사거리,202207," 1,547 "," 1,528 "
강동구,1075.천동초교 삼거리,202207," 1,718 "," 1,769 "
강동구,1076. 천동초교입구사거리 버스정류장(십자성마을 방면),202207," 2,322 "," 2,367 "
